ID,Manual Coding,Tweet
12963,2,I don't even know why my power went out it wasn't even that bad here
13096,2,Sweating worse than a day at Disney. #hurricaneimra #nopower #sweatshop #ineedAC #disney #florida #hurricane
13430,4,"miami gardens, florida 33056 ! we need power !!"
7138,2,how is it that 50blks of us has power except for my block???? We have special needs we've called & FPL doesn't care WTF!!!!!!
10540,2,Still no power but good to see some of the houses around me with electricity. #sliverofhope #hurricaneirma
20783,5,Just want to give you guys some hope. My family lives in Parkstone off 434 and got power a few hours ago. Hang in there!
1396,2,"We just lost power for our whole block. Wth  ? If I have to throw out anything in my fridge we just filled up, Iâll be very upset."
1112,2,I've been patient  but its DAY 12 WITHOUT POWER & my family is struggling!!! Please help!!!!
6155,1,Your app is BS. See trucks driving by our neighborhood none stop to repair the 145 homes you say don't have power.
12936,6,Thanks  for restoring my power within hours of it going out! #HurricaneIrma
21833,2,how come when I report my issue with you guys about my power being out do you guys tell me there is no outages when there is.
5801,5,"Yay, I hope you all get the help you need. Hurricane victims are in my prayers."
26779,2,"We can understand Naples. I am in Dr Phillips, Orange County! There is barely any significant damage, yet they are still ""assessing"". Joke!"
2798,8,fyi. Reporting might be off. Website states we have electric but our entire complex 86 units still has no power
16167,1,"âDefend the sacred,â âwater is life,â âpeople over profits,â âUtilities Commissioners, do you hear us?â all chanted ahead of the meeting."
6764,2,where my electricity at
4940,5,"FakeNews: #indicate damage that needs long repairs, instead of misinfo volunteer  until power restored #sharingiscaring"
26406,2,CAN YALL GIVE US POWER DAMMIT
9061,2,52 hours without power
27931,8,Official with  says 500 workers will be coming to Pinellas County today to help restore power
12257,2,This is ridiculous everybody around us has power ! But we don't people have power next development over we don't fix this .
27455,5,My mom is Pinellas park and she told me she just got power. I'm hopeful
23520,1,Give me a break they had a thunder storm
17949,1,Good thing it sprinkled in Largo now you can blame the weather insteam of your lying
8414,4,our neighborhood has most house with power except two blocks please help on 67th street SW 156th Court. No restoration date!
4291,1,"Stop fighting solar! We could be ok if we had solar panels! Day 6 NO POWER, no damage, no flooding! 33919"
7853,4,FYI technician came by and they said the crossbox has no power. So you contact  to get it fixed or do I?
26422,2,how about some positive news? Tell us how many have gotten power restored! Give people some hope!
16484,2,putting Vegas over/under odds on if you get my power back on by 11pm I'm going with the over
457,1,Still nothing as of 9/18  :30am. And I'm not in the major damage areas. What's going on?
7789,5,Just got mine back. Praying for a quick restoration to all still with no power. We need better system  .
2020,1,"Lamenting lack of power, cable or internet, as if somehow special snowflakes are ignored on purpose, is irresponsible entitlement nonsense"
3877,2," can you do something regarding my power? It's been 8 days w/o it.  trucks pass by my street to ""see"" but don't fix!!"
5017,2,I have been without power since Saturday night and the entire neighborhood got power but not the block where I live at.
14080,1,Not a drop of rain or a squall. Our windows are open because of how hot it is without power and yet here we are 4 hrs no power.
24131,2,Sleeping naked and afraid tonight since we still ain't got any power smh  y'all needa tighten up
12833,2,"Ok,  We're ready to have the power back."
11842,2," question I have limited power in my house, is that part of the restoration process of power? Thanking you in advance."
19374,,"I say storm the Bastille, drag the King out from his palace, and start Robespierre-ing some fuckers"
7319,2,Repair trucks have came and gone and left many of my neighbors and myself without power ?
15135,8," Power is out now at Delaney park, 614 Florida Street"
8525,6,My power was on for about 5 seconds. Bless  for working hard.
15824,5,"And your pets, they'll get sick too, or bring it back into where they're living boil everybody's water be safe"
11719,6,thank u so much!! amazing work ! i got power this am. yall killed it
24848,6,Best part about getting off of work soon?? Apparently I'm going home to a house with power!!!!!! Thanks  !!!
4783,1,"In 04' trees were down everywhere in my city, power back in 3 days. This time no trees down, and going on a week with no power."
13224,,"Yeah, he's been so busy passing no bills he can't find time to help constituents facing a med. emergency. It's Obama's and her emails fault."
626,4,any idea when they will be resetting the breakers on Lake Miriam Dr. It would restore power to a lot of homes.
25983,6,We came home this morning to find electricity! Thank you so much for the speedy recovery! Thanks  for hard work after storm!
1131,1,now I'm sure FPL will do what you promised after hurricane Wilma! u had 12 years & did very little. even pro active tree trimming stopped.
21488,4,"Thank you, still waiting on power with a lot of elderly in my neighborhood!! #FL #Irma #maitland"
1386,2,is it possible for you guys to get your shit together? Obviously not. Only had power back for a couple days. Now we're out again
12142,2,Drove around. Surrounding area has power. What the fuck  ???
4450,6,you guys did an outstanding job restoring power in Florida
1154,2,"Really?  ticket just keeps delaying, now nearing 2 weeks with no power! No FPL crew onsite at all.  "
19152,2,Dawn breaks on #HurricaneIrma Day6 without  power in Dunedin FL. Crews rolling again while my Generac keeps humming - Be Safe
11425,6,I am so blessed to have you as my power company. Praying for the safety of your workers out returning our power! Thank you!
13920,2,And my power went out wayyyy to early so I'm gonna need a discount this month
8954,2,When will the rest of Bravard County get power??
17565,2,"I feel so special being one of the 20,000 left without power in Orange County "
1420,6,Passing so many power trucks tonight heading back to the staging areas. Thankful for their hard work over the last week!
16265,2,Crews came and and cut the trees off lines. They also cut a line and left it on the ground and in the trees. Can we remove it?
5884,2,I don't understand how I have no power but the neighbors to the left and right of me have power
3636,2,Still no power at home in Indian Beach/Sapphire Shores #Sarasota #IrmaRecovery
24392,2," can we get power in tangerine fl, I ain't work for y'all for a year and a half to be out of power for this long g."
8592,2,"Full of shit, i havent even seen a truck accessing the damage let alone trying to fix anything"
25258,6,Every single person updated on their individual status when 1.2 million have lost power. It's not how it works. Everyone needs to chill out.
7923,2," Our whole complex has power except 3 buildings. Please restore our power at The Waves in Plantation. Buildings 1, 2 and 3."
17687,2,Why are we always last to get power back?If we are on a low priority grid and always out the longest then we should pay less #dukenopower
17429,4,"Citra fl still without power, I still have lines in my yard, I'm on disability and it's hard to get in my yard, 1631 ne 180 st. Citra fl."
1002,6,Some solar panels and my storm surcharge money back basically haha. I appreciate it though
25467,2,- I'm getting real sick of everyone around me getting their power restored! #WTF no damage on Dean so why no power?
1499,4,"Are the lift stations still on generators? My sidewalk keeps flooding with soapy looking water, but we haven't used dishwasher or laundry."
23280,2,I had power but lost it last night :( why????? Bring it back
9699,2,"I know they are busy and trying hard, but  turned on power to every street except for my side. They sat there. Teases. :-)"
19014,1," your map is WRONG. Not only do we NOT have power, your voicemail box is full & your website is overloaded. We CAN'T report. "
2502,2,Yall are ridiculous lol its literally been a week and my nieghbors around me have power but I dont & trucks have pass my house
21024,2,"So... looks like I'm part of the special group in Pinellas that's going to get power back at 11:59:59 tomorrow, huh,  ?"
18264,3,"Hey,  , this seems like possible price-gouging /criminal behavior. Please look into this  -  wfla.com/2017/09/15/tar get-8-duke-energy-billing-shocks-power-customers/ â¦"
8823,2,Same in our area - fpl rep claimed they were routing the power to another area.
27683,6,Come on  I believe in you! You can get this power back on!
3672,2,Day 8 of no power and no  trucks
16467,2,"Today's the day! Tonight by 11pm we will have power, right  #10daysnopower"
21356,2,"I seriously need  to come to the aid of 1,511 residents without power in Altamonte Springs on Jamestown. Going on 5 days"
1742,2,10 days with no power! it has been brutally hot! Thank goodness for the crew that restored our power today..
18243,2,Many people through Winter Park and Maitland still without power. Your current outage map doesn't show it
2090,8,"For those  customers in Sarasota County without power, FPL can be reached both in person and by phone. Details: "
24242,2," Post storm, can we get an assessment to determine why our area is always last for restoration of services?"
20667,2,"Still no power in south Saint Prtersburg, 7 days and counting despite having over 12 Duke related trucks less than a block from my house"
7863,2,you need to come & clear the streets  needs to restore my neighbors power and can't because the trees are in the way.
13734,2,"Hats off to  , wind blowing pretty hard, we still have power."
15267,6,WE HAVE POWER! Thank you to the hard working team at  and the leadership of  . Our furry dog will be so happy!  â bei San Marco
3391,6,Power is finally back! Thanks
2119,8,FUN FACT: Homes in Golden Gate Estates can't have water without electricity.
1701,2,10 days without power and counting #afterirma #FPLOutage
14484,6,Power is back on after #HurricaneIrma ! Thanks for working so hard
6088,2,How do you explain entire neighborhoods with power except one section. Never seen that beg. Your team needs to fix this shit
5451,2,"I'm one of the lucky 75 l on my 1800-customer part of the  grid that didn't get power restored, so now I'm probably last in line."
17228,2,"Charlie, here is your chance to show up  and his  cronies. Help restore power faster!"
18834,2,you plan on fixing this anytime soon? Maybe help out the neighborhoods on Jamestown in Altamonte Springs w/o power?
14896,4,when will power be restored in kissimmee #irma
21287,2,Most of the neighborhoods around me have power... But my neighborhood has no power. Please Turn The Power On. 32703 Apopka FL
19278,2,"I've seen repairs for category 5 Hurricanes made MUCH faster than this. They didn't spend 3 days ""assessing"" damage before working either."
2636,2,falsely claiming power was restored when it wasn't and still hasn't been. Received this several days ago and still no power.
12513,6,just got power love u
9749,2,when is your website going to work  even the app doesnt work. i just want to see when my power is going to come back on.
20459,2," Reportd lines down 5 days ago at vet hosp + neighborhood still no power. Dangerous! Lemon & W Fort Dade, Brooksville "
2734,2,Third world islands are restoring power faster than
1544,8,We can't touch the tree according g to them. Power was out before storm even hit Cuba. They are saying it's a cause if a main line since sat
1014,5,"If you can DM name/cell too. Not sure we have reporter doing power story for late, but if they do, would be good to have contact info."
25933,8,my bank account has an outage. I will be assessing the damage. It may take a week for you to get an update.
2724,1,if  charges me for September. I'm just gonna knock down all the power lines again.
6715,3,Fpl made 2.8 billion profit in 2016 yet we had to pay to recoup storm damage? Gonna restore Your equipment with your profit this year?
20823,2,Pinellas county is supposed to have power back by midnight tonight. It's 10:38. I don't feel confident #dukeenergysux
18290,3,Seriously is there a secret deal where  gets you power in short order in exchange for you not saying anything bad about them?
17525,3,"#DukeEnergy lies saying that customers power has been restored, so that they look good on the news."
4110,2,I'm in the same shitty boat. No power since Sunday at noon
18586,8,"Winter Park, FL without power still!"
